iter	Logloss
0	0.6260040813
1	0.5716530785
2	0.5267131393
3	0.4809153314
4	0.4387018014
5	0.409707871
6	0.3852855542
7	0.3666124644
8	0.3488772378
9	0.3350653194
10	0.3188233481
11	0.3027153006
12	0.2915198833
13	0.2823954328
14	0.2734330669
15	0.2638520726
16	0.2559512282
17	0.2477468426
18	0.2397547175
19	0.2328887771
20	0.2277542722
21	0.2223691422
22	0.2171855336
23	0.2121956532
24	0.2071547545
25	0.2028471071
26	0.1993709434
27	0.1965639166
28	0.1930130631
29	0.1899615596
30	0.1867027691
31	0.1847745506
32	0.1822840748
33	0.1801838394
34	0.1778205229
35	0.1759694312
36	0.1744737124
37	0.1731571155
38	0.171626038
39	0.1698399604
40	0.1684219583
41	0.1670578545
42	0.1659087014
43	0.1642954269
44	0.1634091245
45	0.1622011945
46	0.1612286663
47	0.1603574135
48	0.1592836692
49	0.1582191596
50	0.1574194363
51	0.1568745908
52	0.1559871016
53	0.155671161
54	0.1548825438
55	0.1542257784
56	0.1535768774
57	0.153293183
58	0.1524592398
59	0.1520203671
60	0.1517612164
61	0.1515319162
62	0.151331493
63	0.1511469931
64	0.1508586367
65	0.1506648319
66	0.1504736065
67	0.1503050099
68	0.1501450616
69	0.1499704313
70	0.1497942601
71	0.1496676575
72	0.1495744554
73	0.1494457869
74	0.1486996849
75	0.1485752592
76	0.1484651781
77	0.1477816681
78	0.1476885088
79	0.1472713517
80	0.1471549488
81	0.1470270589
82	0.1469507867
83	0.1467905108
84	0.1466849149
85	0.1464020803
86	0.1463059789
87	0.1462185753
88	0.1461282167
89	0.1460695199
90	0.1459878929
91	0.1459192924
92	0.1457460352
93	0.1456915321
94	0.1454105723
95	0.1453267328
96	0.1452768644
97	0.1452155064
98	0.1450957869
99	0.1450186932
100	0.1447845453
101	0.1446990706
102	0.1443279873
103	0.1442755516
104	0.1442134006
105	0.1441526746
106	0.1440932369
107	0.1440171735
108	0.1437561957
109	0.1437014797
110	0.1432988512
111	0.1432534172
112	0.1430171542
113	0.1429509708
114	0.1428943981
115	0.1426569669
116	0.1422903684
117	0.1420207539
118	0.1419682883
119	0.1419043588
120	0.1418424679
121	0.1416105594
122	0.1413981804
123	0.1413412518
124	0.1412750795
125	0.1412499727
126	0.1411095545
127	0.1410496438
128	0.1408659563
129	0.1408258232
130	0.1407527289
131	0.1407226027
132	0.1406782558
133	0.1404494763
134	0.1403888527
135	0.1403006381
136	0.1402399941
137	0.1402167881
138	0.1401645415
139	0.1400192119
140	0.1399894311
141	0.1399248325
142	0.1398813111
143	0.139852424
144	0.1398114844
145	0.1397579907
146	0.1397121739
147	0.1397089566
148	0.139663714
149	0.1396355865
150	0.1394884485
151	0.1394497233
152	0.1394101711
153	0.1393723916
154	0.1393178931
155	0.1392648801
156	0.1392194956
157	0.1392151531
158	0.1391780901
159	0.1391390655
160	0.1390982849
161	0.1390730995
162	0.138924527
163	0.1389006041
164	0.1388911867
165	0.1388548221
166	0.1388224582
167	0.1387509672
168	0.138721305
169	0.1387124005
170	0.138700801
171	0.138651769
172	0.1386111123
173	0.1385318519
174	0.1385301183
175	0.1385232258
176	0.1385001889
177	0.1384685869
178	0.138428855
179	0.1383897906
180	0.1383628386
181	0.1382652527
182	0.1382417908
183	0.1382388663
184	0.1381927509
185	0.1381639687
186	0.1381111754
187	0.1381038797
188	0.1380427928
189	0.1380164908
190	0.1379769727
191	0.1378738738
192	0.1378204752
193	0.1376520751
194	0.1375534439
195	0.1375293186
196	0.1375047145
197	0.1374607231
198	0.137282831
199	0.1372337617
200	0.1371759931
201	0.1371348215
202	0.1370970034
203	0.1370607166
204	0.1367558749
205	0.1367028041
206	0.1366762935
207	0.1366378398
208	0.1366227203
209	0.1365739416
210	0.1365298373
211	0.1364817959
212	0.1364570884
213	0.1364109608
214	0.1363581795
215	0.1363468666
216	0.1363107198
217	0.1363044491
218	0.1363010472
219	0.1362474676
220	0.1362043886
221	0.1361660575
222	0.1361303306
223	0.1361127925
224	0.1360797277
225	0.1360093864
226	0.1359951309
227	0.1359623218
228	0.1359191096
229	0.1359006909
230	0.13586862
231	0.1358330978
232	0.135767723
233	0.1357402363
234	0.1356823356
235	0.1356644195
236	0.1356292882
237	0.1354997672
238	0.1354319968
239	0.1353717223
240	0.1353134558
241	0.1352935308
242	0.1352417778
243	0.1352071111
244	0.1351839876
245	0.1351337118
246	0.1351309663
247	0.1351031837
248	0.1350476129
249	0.1350265657
250	0.1350019292
251	0.1349531154
252	0.134897842
253	0.1346672452
254	0.1345139159
255	0.1345110919
256	0.1344699089
257	0.1343008564
258	0.1342454365
259	0.1342430401
260	0.134177944
261	0.134143221
262	0.1341398504
263	0.1341060259
264	0.1340481793
265	0.1340171556
266	0.1339850881
267	0.1339659775
268	0.1339226004
269	0.1338833913
270	0.1338208951
271	0.1337694129
272	0.133729952
273	0.1336972647
274	0.1336697701
275	0.1336261389
276	0.1336251392
277	0.1335977395
278	0.1335773268
279	0.1335269964
280	0.1334810014
281	0.1334321596
282	0.1334054662
283	0.1333595929
284	0.1332019126
285	0.1331505088
286	0.1329849112
287	0.1329534924
288	0.1328794791
289	0.1328084339
290	0.1327719917
291	0.1327396901
292	0.1326977971
293	0.1325657263
294	0.1325190746
295	0.1324773142
296	0.1324256061
297	0.1324247197
298	0.1323987983
299	0.1323510839
