iter	Passed	Remaining
0	51	15257
1	97	14535
2	147	14624
3	203	15037
4	250	14808
5	300	14727
6	351	14695
7	395	14419
8	443	14327
9	492	14278
10	535	14056
11	588	14133
12	634	14010
13	677	13831
14	723	13749
15	767	13625
16	814	13555
17	864	13551
18	910	13465
19	954	13356
20	997	13253
21	1038	13124
22	1080	13013
23	1126	12951
24	1176	12936
25	1215	12812
26	1266	12803
27	1311	12739
28	1355	12669
29	1400	12601
30	1448	12567
31	1489	12475
32	1530	12380
33	1568	12270
34	1609	12182
35	1648	12085
36	1691	12023
37	1729	11924
38	1771	11852
39	1809	11759
40	1855	11722
41	1923	11816
42	2008	12003
43	2094	12184
44	2183	12375
45	2259	12474
46	2319	12483
47	2361	12397
48	2409	12342
49	2451	12256
50	2493	12171
51	2528	12061
52	2568	11968
53	2610	11891
54	2659	11847
55	2701	11772
56	2742	11692
57	2781	11605
58	2825	11541
59	2869	11479
60	2915	11424
61	2989	11474
62	3152	11858
63	3194	11781
64	3233	11688
65	3270	11593
66	3311	11515
67	3353	11442
68	3394	11362
69	3434	11284
70	3482	11232
71	3524	11161
72	3563	11082
73	3605	11011
74	3644	10933
75	3683	10856
76	3723	10782
77	3761	10706
78	3803	10640
79	3846	10577
80	3896	10535
81	3939	10473
82	3977	10397
83	4014	10322
84	4049	10243
85	4097	10195
86	4139	10134
87	4179	10069
88	4219	10002
89	4258	9935
90	4300	9877
91	4347	9828
92	4386	9763
93	4422	9691
94	4463	9631
95	4506	9576
96	4549	9522
97	4588	9457
98	4621	9383
99	4668	9337
100	4706	9273
101	4747	9215
102	4787	9156
103	4824	9092
104	4870	9044
105	4910	8987
106	4954	8937
107	4991	8874
108	5029	8812
109	5065	8749
110	5108	8697
111	5146	8639
112	5189	8588
113	5229	8532
114	5277	8489
115	5312	8426
116	5352	8371
117	5390	8313
118	5427	8254
119	5467	8201
120	5512	8154
121	5549	8096
122	5594	8050
123	5632	7994
124	5670	7938
125	5707	7881
126	5743	7824
127	5782	7770
128	5834	7734
129	5885	7696
130	5923	7642
131	5962	7588
132	6007	7543
133	6050	7494
134	6093	7448
135	6136	7399
136	6180	7353
137	6220	7302
138	6264	7256
139	6305	7206
140	6350	7161
141	6394	7114
142	6435	7065
143	6479	7019
144	6523	6973
145	6568	6928
146	6605	6875
147	6652	6832
148	6693	6783
149	6731	6731
150	6767	6677
151	6804	6625
152	6839	6571
153	6883	6525
154	6922	6475
155	6958	6422
156	6999	6374
157	7041	6328
158	7086	6284
159	7124	6233
160	7169	6189
161	7212	6144
162	7249	6093
163	7289	6045
164	7333	6000
165	7371	5950
166	7411	5902
167	7455	5857
168	7503	5816
169	7548	5772
170	7588	5724
171	7629	5677
172	7671	5632
173	7711	5584
174	7747	5533
175	7782	5483
176	7818	5433
177	7860	5387
178	7904	5343
179	7943	5295
180	7983	5249
181	8022	5201
182	8063	5155
183	8099	5106
184	8139	5059
185	8177	5011
186	8223	4969
187	8266	4924
188	8313	4882
189	8353	4836
190	8397	4792
191	8440	4747
192	8482	4702
193	8523	4656
194	8558	4608
195	8600	4563
196	8638	4516
197	8679	4471
198	8727	4429
199	8766	4383
200	8804	4336
201	8837	4287
202	8878	4242
203	8923	4199
204	8963	4153
205	9002	4107
206	9040	4061
207	9079	4015
208	9267	4035
209	9314	3991
210	9356	3946
211	9396	3900
212	9437	3854
213	9482	3810
214	9531	3768
215	9572	3722
216	9622	3680
217	9658	3633
218	9696	3586
219	9733	3539
220	9772	3493
221	9832	3454
222	9876	3410
223	9924	3367
224	9966	3322
225	10003	3275
226	10042	3229
227	10083	3184
228	10126	3139
229	10163	3093
230	10202	3047
231	10239	3001
232	10279	2956
233	10324	2911
234	10365	2867
235	10404	2821
236	10446	2776
237	10489	2732
238	10525	2686
239	10568	2642
240	10605	2596
241	10644	2551
242	10678	2504
243	10718	2460
244	10761	2415
245	10804	2371
246	10844	2326
247	10885	2282
248	10924	2237
249	10962	2192
250	10999	2147
251	11038	2102
252	11078	2058
253	11117	2013
254	11156	1968
255	11190	1923
256	11228	1878
257	11263	1833
258	11298	1788
259	11334	1743
260	11376	1699
261	11414	1655
262	11449	1610
263	11477	1565
264	11508	1519
265	11538	1474
266	11571	1430
267	11607	1386
268	11646	1342
269	11687	1298
270	11729	1255
271	11755	1210
272	11797	1166
273	11830	1122
274	11856	1077
275	11884	1033
276	11911	989
277	11948	945
278	11977	901
279	12002	857
280	12031	813
281	12060	769
282	12087	726
283	12115	682
284	12150	639
285	12180	596
286	12224	553
287	12256	510
288	12292	467
289	12325	425
290	12359	382
291	12414	340
292	12467	297
293	12507	255
294	12554	212
295	12584	170
296	12616	127
297	12657	84
298	12690	42
299	12732	0
